Region_Name,state_name,lat,lng,population,density,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Alcorn County, MS",Mississippi,34.9224,-88.4432,2181,131,4.9,5.6,7.9,7.4,6.7,7,7.2,6.8,7.6,11.9,11.5,10.9,8.7,7.8,6.6,5.6,5.2,4.4,4.1
"Alexander County, IL",Illinois,37.2416,-89.2714,514,85,7.2,7.8,9.1,10.6,9.2,8.7,8,8.2,9.5,12.2,11.8,12.9,11.9,12.7,10.6,9.2,9.2,8,7.2
"Alexander County, NC",North Carolina,35.8162,-81.2962,4592,232,2.7,5.8,7,7.1,6,5.4,4.8,5.2,7,13.9,13,11.3,9.6,7.8,5.6,4.9,4.2,3.7,3.2
"Alfalfa County, OK",Oklahoma,36.5791,-98.4578,375,95,3,3,3.4,3.9,3.8,4.4,4.2,4.4,3.1,4.8,4.9,4.1,2.9,3.3,2.5,3,3.3,2.7,2.4
"Alger County, MI",Michigan,46.4172,-86.6439,2783,161,5.5,6.4,7.2,7.9,7.9,7.7,8.2,8.5,9.4,13.7,14.2,12.7,12,11.7,10.4,8.6,8.3,8.5,8
"Allamakee County, IA",Iowa,43.2084,-91.296,141,126,3.4,4,4.6,5.6,5.9,5.2,4.6,4.8,6.5,10.2,7.8,7.2,6.4,6.3,5.7,4.9,5,4,3.1
"Allegan County, MI",Michigan,42.4575,-85.6979,11858,768,2.9,4.4,5.7,6.6,6.5,6.3,6.3,6.4,7.3,12.9,11.4,8.7,7.3,6.7,5.4,4.1,3.9,3.9,3.5
"Allegany County, MD",Maryland,39.5653,-78.7054,63,37,6,6.3,6.2,6,6.1,6.1,5.6,5.1,5.7,8.5,9.3,9.1,8.9,8.5,7.6,7,6.2,5.8,5.7
"Allegany County, NY",New York,42.3193,-77.7386,442,302,4.9,4.7,5.4,6.5,6.4,5.8,5.2,5.5,6.4,8.7,9.2,8.9,8.4,7.5,6.2,6.5,6.3,6.7,5.9
"Alleghany County, NC",North Carolina,36.5035,-81.1218,1744,280,5.9,8.5,9.1,9.2,6.3,5.6,5,5.2,7.4,11.9,12,12.3,10.5,8.8,6.9,6.1,5.5,5.2,4.5
"Alleghany County, VA",Virginia,37.7985,-79.7903,363,424,3.1,4.2,5.3,4.6,4.8,4.8,4.8,4.3,5.4,9.1,8.6,7.9,7.1,6.6,5.9,5.1,5.1,4.9,4
"Allegheny County, PA",Pennsylvania,40.417,-80.0544,4892,910,4,4.4,5.4,5.5,5.3,5,4.5,4.1,4.8,6.8,7.6,7.1,6.9,6.5,5.4,5,5.2,4.8,4.1
