Region_Name,state_name,lat,lng,population,density,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Decatur County, TN",Tennessee,35.5188,-88.2526,975,100,5.3,6.9,8,8.2,7.2,7.8,6.5,5.6,8.5,13.4,13.1,11.6,10.3,10.6,9.5,7.9,6.9,5.2,4.9
"Deer Lodge County, MT",Montana,46.0607,-113.0679,6043,4,7.4,6.6,5.9,6.5,6.8,6.2,4.9,4.8,6.7,7.6,6.1,6.2,5.6,4.9,4.4,4,3.8,3.6,3.6
"Defiance County, OH",Ohio,41.2944,-84.7648,3475,522,3.9,4.8,5.9,6.4,6.4,6.2,5.6,5.6,7.5,14.1,12.2,9.6,7.7,7.5,5.5,4.9,4.9,4.9,4.4
"DeKalb County, AL",Alabama,34.4939,-85.8435,5038,94,4,4.8,5.1,5.8,5.8,5.1,4.2,4.3,5.8,14.3,12.7,11.8,9.1,7.6,6.9,6.1,6.1,4.5,3.8
"DeKalb County, GA",Georgia,33.8842,-84.3008,29428,1474,3.3,4.1,5.7,5.5,5.5,6.1,5.1,4.8,6.4,10,10.8,10.5,9.4,8.4,7.2,6,5.4,4.8,3.9
"DeKalb County, IL",Illinois,41.7683,-88.7659,1498,398,3.3,4.3,5.2,5.7,5.2,5.1,3.7,4.3,5.8,10,10.5,9.3,8.4,8.2,6.6,5.6,5.3,4.5,4.1
"DeKalb County, IN",Indiana,41.3147,-84.9012,465,535,3.1,5,5.4,5.7,5.6,6.3,6.1,5.5,7.3,13.7,11.9,9.7,8.4,7.2,5.2,4.1,3.9,2.9,2.8
"DeKalb County, MO",Missouri,39.8139,-94.5507,261,311,4.1,4.9,6,6.2,6.2,5.9,5.4,5.2,6.3,9.5,8.8,8,5.9,6,5.4,4.6,4.4,3.8,3.2
"DeKalb County, TN",Tennessee,36.0045,-85.9779,325,108,4.6,5.2,5,5,5,5.8,5.4,4.4,6.7,10.9,11.7,11.1,9.6,10.1,8.2,6.9,5.5,4.7,4.4
"Del Norte County, CA",California,41.5322,-124.0063,722,22,7.4,8,8.7,8.5,8.1,7.4,6.9,7.5,8.8,11.8,13.2,13.3,13.5,11.8,10.1,8.6,7.5,6.4,5.6
"Delaware County, IA",Iowa,42.4798,-91.5915,121,140,2.8,3.6,5,5,4.7,4.4,3.7,3.6,4,6.7,6.1,5.5,4.5,4.3,3.8,3.4,3.5,2.7,2.1
"Delaware County, IN",Indiana,40.3138,-85.5009,859,945,3.6,4.9,6,6.3,6.2,6.9,6,5.3,6.7,10.7,11.6,10.2,9.4,8.6,7,5.7,5.1,4.2,4
"Delaware County, NY",New York,42.4459,-74.9088,226,28,4.2,4.1,4.7,4.8,4.5,4.4,4.2,4.3,6,8.5,8.8,8.7,8.7,7.9,6.6,6,5.5,5.6,5.1
"Delaware County, OH",Ohio,40.2219,-82.8802,674,162,2.8,2.8,4.1,4.4,4.5,4.4,3.9,4,4.7,7.1,7.2,6.3,5.2,5.3,4.1,3.5,3.6,3.5,3.3
"Delaware County, OK",Oklahoma,36.3013,-94.9979,1029,8,3.6,4,4.8,5.7,5.1,4.7,4.5,4.6,4.2,6.5,8,7.2,6.6,6.9,5.8,4.9,4.9,4.4,4
"Delaware County, PA",Pennsylvania,39.8926,-75.4698,2631,458,3.7,4.2,5.1,5.2,5,4.6,4.3,4.1,5,7.6,8,7.8,7.7,7.1,5.5,4.9,4.9,4.5,4
"Delta County, CO",Colorado,38.7053,-107.61,422,670,3.7,4.2,5.1,5.8,5.4,5,4,3.3,4.4,7.1,10.7,10.5,9.7,8.9,7.1,5.7,4.9,3.9,3.8
"Delta County, MI",Michigan,45.7477,-87.09,20199,370,5.4,6.7,7.5,8.5,7.9,7.3,7.4,7.7,8.3,12.3,12.5,10.8,9.9,10.3,8.5,6.8,6.6,6.4,5.6
"Delta County, TX",Texas,33.3716,-95.6912,1968,519,5,5.3,6.3,6.6,6.9,5.5,5.2,4.7,5.3,8.6,7.9,8.1,6.7,6.3,6,4.5,3.8,3.3,3.3
"Dent County, MO",Missouri,37.6398,-91.5346,4886,597,5,6.8,6.3,6.4,6.7,6.3,5.9,6.7,7.7,9.5,10.3,9.7,8.2,7.6,6.8,5.8,5.4,4.3,3.6
"Denton County, TX",Texas,33.133,-97.3014,438,104,2.8,3.5,5,5.3,4.5,4.6,4.2,3.8,4.4,7.1,7.1,6.6,5.7,5.3,4.4,3.6,3.4,3.3,3.1
"Denver County, CO",Colorado,39.7621,-104.8759,2787266,1774,3,4.4,6.6,7,6.5,5.7,4.8,4.1,5.4,8.1,9.1,8.6,7.8,6.7,4.8,3.7,3.1,2.8,3
"Des Moines County, IA",Iowa,40.86,-91.3146,921,470,3.5,5,6,6.7,5.9,5.4,4.7,4.4,5.9,8.1,7.5,6.7,6.1,6,5,4.7,4.9,4.3,3.3
"Deschutes County, OR",Oregon,44.2614,-121.2995,1872,47,5.4,6.5,7.7,7.8,6.8,5.8,4.7,5,8.2,14.9,13.8,12.3,11.3,9.5,7.8,5.9,4.8,4.2,4.1
"Desha County, AR",Arkansas,33.6279,-91.3952,3533,222,8.2,8.8,8.9,9,9.1,8.7,9.1,9.9,8.8,11.3,11.2,11.2,9.9,9.6,8.1,7.3,5.4,4.8,4.6
"DeSoto County, FL",Florida,27.2214,-81.8587,18376,717,4.5,5.2,6.4,5.9,6.1,4.6,3.7,5,7,10.1,12.3,10.4,10,8.2,7.2,5.8,5.3,4.4,3.7
"DeSoto County, MS",Mississippi,34.85,-89.9921,15981,243,2.4,2.8,3.7,3.7,3.6,4.1,4,3.9,4.6,7.1,7.5,7.2,6.5,5.9,5.3,4.8,4.2,3.8,3.6
"Deuel County, NE",Nebraska,41.061,-102.0745,390,339,3,2.7,2.6,3,3,3.1,2.7,2.9,3,3.9,3.9,3.5,3.2,3.3,2.8,2.5,2.6,2.6,2.8
"Deuel County, SD",South Dakota,44.5577,-96.5465,134,329,3.1,4,3.9,4.1,4.5,4.3,3.6,3.5,3.9,6,6.8,6.1,6,5.7,5.5,5,4.9,4.9,4.6
"Dewey County, OK",Oklahoma,36.1548,-98.9296,861,326,2.7,2.8,3.7,3.6,3.2,3.3,3,3.1,2.4,4.3,5.2,3.9,3.2,3.5,3.1,3.6,4.1,3,2.1
"Dewey County, SD",South Dakota,45.2746,-100.9012,155,21,8.9,9.1,7.8,8.3,8.6,9.8,9.2,9.5,9.1,10.8,14.7,16.1,15.9,15.4,14.5,11.4,8.9,10.1,8.9
"DeWitt County, TX",Texas,28.9829,-97.505,2080,464,4.3,4.5,5.7,5.7,5.5,4.6,4.4,3.9,4.1,7.5,7.8,6.5,4.8,4.7,3.8,4,5.5,4.4,3.3
"Dickens County, TX",Texas,33.4701,-100.8556,1203,289,5.1,4.9,5.4,6.1,6.1,5.2,4.2,3.8,5.1,7.2,11.2,15.3,10.7,9.2,6.3,4.6,5,4.7,4.1
"Dickenson County, VA",Virginia,37.2151,-82.2931,481,50,5.8,7,7.9,8.5,6.3,6.5,5.2,5.2,5.7,8.7,10.5,9.9,10.7,11.2,10.2,10.1,10,7.3,5.6
"Dickey County, ND",North Dakota,46.0043,-98.5254,1184,322,2.1,2.5,3,3.2,2.8,2.7,2.8,2.7,3,5.2,3.2,2.9,2.7,2.3,2,1.8,1.9,1.8,1.9
"Dickinson County, IA",Iowa,43.3742,-95.1744,346,111,2.7,3.3,3.8,4.7,4.1,4.3,4.1,4,4.5,7.2,6.9,6.4,5.7,5.4,4.7,4,4.3,3.7,3.1
"Dickinson County, KS",Kansas,38.9358,-97.1246,277,311,3.1,3.9,4.2,4.6,4.7,4.5,4,3.9,4,5.2,6.6,6.6,6.1,5.9,5.1,5.2,4.4,3.8,3.5
"Dickinson County, MI",Michigan,45.803,-87.9958,843,215,4.3,5.1,6.1,6.8,6.4,5.8,5.9,6.1,6.8,11.6,11.5,9.6,8.4,8.3,6.8,5.7,5.2,4.8,4
"Dickson County, TN",Tennessee,36.064,-87.3668,17085,298,3.5,4.3,4.8,5,5.1,5,4.6,4.2,6.9,11,10.2,9.6,8.3,7.7,6.3,5.4,4.3,3.3,3.1
"Dillon County, SC",South Carolina,34.3406,-79.1663,762,174,7,9.2,7.9,9.6,9.7,9.4,9.3,9.1,10.3,15.3,15.9,15.8,14.1,11.8,9.6,8.6,6.7,5.7,5
"Dimmit County, TX",Texas,28.4461,-99.7604,1077,509,8.6,7.7,9.2,9.4,8.9,8.2,7.6,6.2,6.5,10,10.6,7.8,5.8,5,3.8,4.7,7.1,5.1,3.2
"Dinwiddie County, VA",Virginia,36.9853,-77.7219,486,202,2.1,3,4,4.1,3.9,4.2,3.2,3.4,4.6,8,8.8,8,7.6,7.4,6.5,5.4,4.9,4.5,3.5
"Divide County, ND",North Dakota,48.9163,-103.2967,1310,363,2.9,2.8,3.5,3.4,3.4,3.2,3.8,3.3,3.2,3.7,2.1,1.8,1.6,1.4,1.5,1.8,2.6,1.7,1.4
"Dixie County, FL",Florida,29.4498,-83.2819,167,141,4.5,5.7,5.3,5.2,5.3,3.8,3.5,4.4,7.6,11.4,12.9,12.3,10.2,8.5,7.4,6.2,5.4,4.6,4.1
"Dixon County, NE",Nebraska,42.2665,-96.8632,1395,506,2.6,2.5,3,3.6,3.5,3.9,3.1,3.1,3.2,4.7,4.8,4.6,4.1,3.8,3.1,3.3,3.3,3.2,3.1
"Doddridge County, WV",West Virginia,39.2963,-80.7751,833,892,5.9,5.4,6.6,5.9,5,4.8,5.2,4.9,4.9,7.8,7.1,7.1,6.3,5.3,5,5.5,5.2,4.2,3.9
"Dodge County, GA",Georgia,32.1973,-83.1712,6220,305,4.8,5.4,5.7,5.3,5.1,5.8,5,5,6.7,10.7,13,12.3,11.5,11.4,9.7,8.4,7.2,6.3,5.2
"Dodge County, MN",Minnesota,44.1529,-92.8995,775,276,3,3.4,4,4.4,4.3,3.9,3.7,4.3,5.2,7.4,6.9,6,5,4.7,4.2,3.7,3.7,3.4,3.1
"Dodge County, NE",Nebraska,41.416,-96.5021,316,509,3.1,3.8,4.4,4.7,4.6,4.4,3.5,3.2,3.5,5,5.3,4.9,4.5,4.2,3.6,3.3,3.1,2.8,2.8
"Dodge County, WI",Wisconsin,43.5271,-88.5615,156,257,3.3,5.1,5.6,6,5.3,4.9,5,5.1,5.1,9.6,9,7.8,7.1,6.9,5.4,4.4,3.6,2.9,2.6
"Dolores County, CO",Colorado,37.6892,-108.0318,266,151,5.7,5.1,7.9,8.1,6.5,7,6.5,4.9,7.2,13.1,17.7,12.8,10.2,8.3,4.3,3.2,3.9,3,2.7
"Doniphan County, KS",Kansas,39.7518,-94.8889,1203,159,4.8,7.6,9.5,7.2,7.7,6.3,5,4.8,5.6,10.4,8.8,7.8,6.3,5.4,4.5,4.3,3.9,3.4,3.4
"Donley County, TX",Texas,34.8674,-100.6592,297,160,4.1,4.3,4.9,5.5,5.5,4.9,4.7,4.3,4.3,5.8,6.9,6.4,5.9,5.2,4.8,4.1,4.1,3.7,3.6
"Dooly County, GA",Georgia,32.1956,-83.7596,357,135,4.8,5.4,5.7,6,6,6.3,5.6,5.3,6.7,9.9,11.6,13,11.5,11.5,9.6,7.6,5.8,5.1,4.6
"Door County, WI",Wisconsin,45.0659,-87.133,209,47,4.2,5,5.4,7.6,6.2,5.6,5.5,5.5,5.5,9,11.4,12.1,10.5,10.1,8.3,6.8,5.1,4,3.5
"Dorchester County, MD",Maryland,38.3357,-76.2238,149,54,5.1,6.3,6.5,6.9,5.9,5.4,5.7,5.8,6.7,10.6,11.4,11.1,10.9,9.8,8.4,7.2,6.2,5.7,5.5
"Dorchester County, SC",South Carolina,33.186,-80.5794,2151,291,3.1,4.1,4.2,5.2,5.1,5.3,5.1,4.4,5.6,9.8,9.5,9,7.8,6.6,5.8,5.5,4.6,3.8,3.2
"Dougherty County, GA",Georgia,31.4756,-84.101,2254,39,5.3,5.5,6.1,5.7,6,6.3,6,5.6,7,10.5,12.5,12.2,11.3,10.3,9.2,7.7,6.8,6.1,5
"Douglas County, CO",Colorado,39.5357,-104.8032,9379,1973,2.1,3.2,5.2,5.1,4.6,4.1,3.6,3.1,4.2,6.2,7,6.4,6,5.3,4,3.1,2.7,2.4,2.7
"Douglas County, GA",Georgia,33.7811,-84.6486,17772,505,3,3.3,4.7,4.7,4.8,5.7,5,4.7,6.5,10.8,11.2,10.9,9.6,8.6,7.4,6.3,5.5,4.9,4
"Douglas County, IL",Illinois,39.8644,-88.16,2466,634,3.7,4.2,4.8,5.3,4.9,4.7,4,4.2,5.8,8.7,8.8,8.1,7.2,7,5.9,4.9,4.7,4,3.8
"Douglas County, KS",Kansas,38.9344,-95.0956,6333,829,2.7,3.2,3.8,3.9,4.2,4,3.8,3.9,4.2,5.7,5.9,5.7,5.2,4.8,4.1,3.7,3.5,3.2,3
"Douglas County, MN",Minnesota,45.9741,-95.2925,492,407,3.4,3.6,3.7,3.9,3.9,3.8,3.8,4.4,5,6.7,6.8,6.1,5.1,4.5,3.7,3.4,3.5,3.2,2.8
"Douglas County, MO",Missouri,36.9546,-92.6661,2763,338,4.7,7.2,8.6,7.3,6,6.1,5.4,5.9,6.8,8.9,12.2,10.2,9.8,9.4,7.6,6.8,6.1,4.7,4.8
"Douglas County, NE",Nebraska,41.239,-96.3526,74,60,3,3.5,4.3,4.6,4.5,4.5,3.5,3.4,3.7,5.2,5.1,4.9,4.5,4.2,3.6,3.3,3.3,3.2,3.1
"Douglas County, NV",Nevada,38.9609,-119.7688,3185,290,3.8,4.6,5,4.9,4.2,4.5,4.6,4.8,7.4,11.6,13.8,13.3,11.5,9.6,8,6.7,5.6,4.8,4.3
"Douglas County, OR",Oregon,43.0227,-123.2811,3475,536,7.3,8.4,8.8,9.8,9.3,8.2,7.4,7.7,9.9,15.7,14,12.7,11.9,10.6,9.2,7.5,6.3,5.3,5.2
"Douglas County, SD",South Dakota,43.2666,-98.1592,220,111,2.2,2.6,2.7,2.7,3.1,3.3,2.7,2.5,2.7,4.2,4.4,4.1,3.4,3.2,2.9,2.5,2.5,3,2.8
"Douglas County, WA",Washington,47.648,-120.0707,1198,533,6.9,7.8,7.8,7.8,6.6,5.8,5.5,5.4,5.7,8.1,9.8,9.5,9.2,8.4,7.2,6.5,6.9,5.8,5.5
"Douglas County, WI",Wisconsin,46.2409,-91.7995,213,44,4.5,5.1,6,6.3,5.8,5.3,5,5,5.3,8.2,8.3,7.5,6.9,6.6,5.7,5,5.2,4.5,3.8
"Drew County, AR",Arkansas,33.6264,-91.9294,498,125,6,8.7,8,8,7.9,8.5,8,7.4,7.9,11,10.9,11.6,10.7,9.8,8.4,7,5.8,5.2,4.9
"Dubois County, IN",Indiana,38.3934,-86.9404,16262,453,2.3,3,3.7,3.6,3.8,3.9,3.6,3.1,3.9,7.5,7.5,6.1,5.7,5.3,4.1,3.4,3.1,2.6,2.5
"Dubuque County, IA",Iowa,42.4477,-90.8448,1699,263,3.2,4.1,4,4.3,4.4,4.3,3.7,4,4.4,6.6,5.8,5.1,4.5,4.5,4.1,3.7,3.5,3,2.5
"Duchesne County, UT",Utah,40.4344,-110.0308,410,41,4.9,5.3,6.8,6.7,5.6,4.3,2.9,2.2,2.7,8.5,9.6,6.7,4.7,4.3,3.7,7.6,8.8,5.8,4.6
"Dukes County, MA",Massachusetts,41.4565,-70.6069,1821,569,3,3.2,4.1,4.5,4.3,4.3,4.3,3.9,4.6,6.8,10.2,9.8,9.2,9.5,8.3,6.9,5.5,5.2,5
"Dundy County, NE",Nebraska,40.1143,-101.4045,89,155,2.2,2.4,3.7,3.2,3.7,4.1,3.2,2.6,2.9,4,3.1,2.9,2.9,2.8,2.3,2.1,2.2,2.4,2.3
"Dunklin County, MO",Missouri,36.0404,-90.1158,619,306,4.7,6.3,7,7.6,7.4,7.3,7,8,7.9,10.7,13.5,12.1,10.4,9.9,9.1,8,8.2,6.6,5.8
"Dunn County, ND",North Dakota,47.3527,-102.6233,179,176,3.2,3.3,4.1,3.8,3.6,3.3,3.3,3.8,3.2,4.2,3.2,2.1,1.6,1.4,1.3,2,3.1,2.1,1.7
"Dunn County, WI",Wisconsin,44.8893,-91.9084,18025,463,3.5,4.2,4.8,5.1,4.6,4.4,4.6,4.5,4.4,7.2,7.9,7.3,6.6,6.4,5.2,4.5,4.1,3.3,3
"DuPage County, IL",Illinois,41.7635,-87.9456,8521,1222,3.3,4.4,5.7,5.6,5.1,4.7,3.5,3.9,5,8.6,8.9,8.2,7.5,7.4,5.7,4.7,4.7,4.1,3.3
"Duplin County, NC",North Carolina,34.8271,-77.9247,638,157,4.3,6.1,7.4,6.7,5.7,6,5.2,4.4,5.8,9.4,9.3,9.5,9.1,8,6.4,5.7,5.3,4.9,4.4
"Durham County, NC",North Carolina,36.0418,-78.8091,807,108,2.9,4.3,5.9,5.5,4.5,4.3,3.9,3.8,4.7,7.8,8.2,8.1,7.4,6.3,5.1,5,4.5,4.1,3.5
"Dutchess County, NY",New York,41.6191,-73.7944,1170,864,3.2,3.4,4.2,4.1,4.2,3.9,3.8,3.9,5.1,7.7,7.7,7.5,7.8,6.7,5.3,4.5,4.2,4.3,3.8
"Duval County, FL",Florida,30.3165,-81.4118,7280,1202,3.3,4.4,5.7,5.5,5.1,4,3.5,4.2,6.4,10.5,11.4,10.3,8.7,7.5,6.7,5.8,4.9,4.1,3.5
"Duval County, TX",Texas,27.7609,-98.2389,4542,870,7,6.4,9.2,8.3,6.8,6.2,5.4,4.9,5.3,10.9,11.6,9.4,7,6.4,5.6,8.1,10.9,7.6,5.7
"Dyer County, TN",Tennessee,36.0465,-89.3777,21043,367,5.1,6.5,6.9,6.9,5.9,6.1,5.8,5,7.6,13.9,12.1,12.4,11,10.4,8.2,7.2,6.2,4.8,4.7
"Eagle County, CO",Colorado,39.6386,-106.3608,6017,453,2.4,3.1,4.3,4.7,4.3,3.8,3.4,2.8,3.6,7.1,8.5,7.9,7.2,6.1,4.2,3.2,2.8,2.3,2.6
"Early County, GA",Georgia,31.2988,-84.717,235,51,5.1,4.8,5.4,5.8,5,5.6,5,5.6,6.7,10.5,11.7,11.5,10.1,9.1,8.9,6.9,6.9,5.5,4.6
"Eastland County, TX",Texas,32.2136,-98.6721,1044,245,4.7,4.9,5.9,6.5,5.6,5.2,4.8,4.3,4.4,7.6,8.7,7.7,6.7,6.1,4.8,4.7,5.4,4.3,3.6
"Eaton County, MI",Michigan,42.6271,-85.0249,767,233,2.9,3.7,4.2,4.9,5.3,5.5,5.4,5.3,6.1,10.4,9.6,8,6.9,6.7,5.7,4.4,4.1,4.2,3.6
"Eau Claire County, WI",Wisconsin,44.803,-91.4387,7680,632,3.3,4,4.6,4.8,4.4,4.1,4,4.2,4.1,6.8,7,6.4,5.8,5.7,4.5,3.8,3.4,2.9,2.6
"Ector County, TX",Texas,32.0105,-102.3587,1979,66,5.3,4.9,6.6,6.6,5.7,4.5,3.9,3.3,3.4,8.1,8.3,6.1,4.6,4.3,3.4,4.7,6.4,4.1,2.9
"Eddy County, ND",North Dakota,47.6798,-99.1377,1356,304,4.2,4.2,5.2,5.2,4.9,5.6,5,5.5,5.6,5.3,4.8,4.9,5.1,6,5.5,4.8,4.3,4.6,4.8
"Eddy County, NM",New Mexico,32.1767,-104.3739,147,128,5.6,5,5.9,5.9,5.5,4.6,3.5,3,3,5.9,6.4,5.1,4.7,4.6,4.5,4.9,6.5,5.3,3.4
"Edgar County, IL",Illinois,39.6148,-87.6905,8431,562,4.2,4.9,5.8,6,5.6,5.3,4.7,5.1,6.9,10.3,11.2,10.5,9.7,9.4,7.2,6.3,5.9,4.8,4.3
"Edgecombe County, NC",North Carolina,35.9896,-77.58,56,30,5.8,8.2,10.9,9.8,8.5,8.4,8,7.5,10.1,15.8,15.8,15.5,14.3,13,10.3,9.6,8.7,7.8,6.9
"Edgefield County, SC",South Carolina,33.7401,-81.8404,193,59,3.7,4.8,4.9,5.1,5.9,7.2,7.7,6.3,6.7,10.2,10,9.9,9.5,8.1,6.7,6.4,5.6,4.6,3.6
"Edmonson County, KY",Kentucky,37.1952,-86.2691,833,123,4.9,6,7.1,7,5.9,7.1,6.8,6.3,7.6,13.7,13.3,11.7,10,10,8.3,7.1,6.3,6,5.1
"Edmunds County, SD",South Dakota,45.4501,-99.337,299,288,2.3,2.9,3.3,3.3,3.5,3.3,2.8,2.5,2.7,3.5,3.1,3.3,3,2.8,2.5,2.5,2.3,2.8,2.8
"Edwards County, IL",Illinois,38.4449,-87.9975,237,152,4.9,4.8,4.9,5,4.4,4.7,4.2,4.9,6.4,9.1,8.8,8.1,7.8,8.6,6.8,6,5.8,4.5,4.2
"Edwards County, KS",Kansas,37.937,-99.2547,429,526,2.6,2.8,3.4,3.7,3.6,3.4,3.1,3.5,2.8,4.2,5.4,4.5,4,3.8,3.3,3.1,3,3,2.5
"Edwards County, TX",Texas,30.0172,-100.2128,1150,365,4.2,4.5,5.2,4.3,4.1,4,4.3,3.9,3.7,7,7.1,6.6,6.4,5.8,4.3,4.6,4.6,3.2,2.7
"Effingham County, GA",Georgia,32.3641,-81.3078,5072,557,3.2,3.2,3.8,3.9,3.8,4,3.4,3.3,4.8,8.2,9.6,9.3,8.4,7.1,6.2,5.1,4.8,4.1,3.3
"Effingham County, IL",Illinois,38.9537,-88.6259,337,101,4.1,4.7,5.3,5.9,6.1,5.4,4,4,5.5,8.1,7.9,6.9,6.5,6.9,5.4,4.8,4.7,3.8,3.5
"El Dorado County, CA",California,38.675,-121.049,45104,359,4.1,4.3,5.2,5.5,5.3,4.8,4.6,5.2,7,10.9,12.2,11.7,10.2,8.5,7,5.7,5.1,4.4,3.6
"El Paso County, CO",Colorado,39.0453,-104.8288,6706,1102,2.9,4.2,6,6.1,5.6,5.3,4.6,4.3,5.7,7.9,9.4,9.1,8.9,7.9,6,4.6,3.7,3.3,3.7
"El Paso County, TX",Texas,31.811,-106.1643,6460,680,6.7,7.2,8.2,8.8,7.5,7.1,6.7,5.8,6.1,8.8,9.2,9.5,8.5,7.9,6.4,5.2,4.9,4.6,4.3
"Elbert County, CO",Colorado,39.2189,-104.5403,154,125,2.3,3.2,5,5.4,4.8,4.6,4,3.7,4.8,7,8.1,7.5,7.1,5.9,4.3,3.2,2.6,2.4,2.7
"Elbert County, GA",Georgia,34.2051,-83.0309,805,99,5.3,5.6,5.9,5.7,5.5,6.8,6.5,5.7,8.3,12.2,14.9,16.1,12.6,10.8,8.6,7.4,6.5,5.3,4.8
"Elk County, KS",Kansas,37.3779,-96.0821,301,98,4.9,5.2,5.8,6.1,5.8,5.5,4.9,5.7,5.7,8.2,8.4,7.6,6.8,5.7,5.2,4.8,5,4.3,3.4
"Elk County, PA",Pennsylvania,41.357,-78.6101,1072,265,4.8,7.2,6.8,6.4,5.5,5,4.7,4.7,6,12.6,9.7,7.4,7,6.8,5.1,4.9,5.5,4.9,3.9
"Elkhart County, IN",Indiana,41.5336,-86.0138,1834,321,2.7,4.7,4.8,4.7,4.3,4.6,4.7,4.6,8.7,17.9,13.3,10.8,9,7.2,5.1,3.9,3.5,2.5,2.6
"Elko County, NV",Nevada,40.7239,-115.479,228,47,3.7,4.8,4.6,4.5,3.7,3.5,3.4,3.3,4.3,6.3,7.7,7.2,6.3,6.2,5.6,5.1,4.5,3.7,3.3
"Elliott County, KY",Kentucky,38.0929,-83.1241,614,241,8.9,8.7,8.5,8.2,10.1,9.7,8.4,7.5,8.3,13.4,15.8,15.8,14.4,14.5,11.3,9.8,11.1,10.1,8.6
"Ellis County, KS",Kansas,38.8816,-99.3219,21525,959,2.6,2.9,3,3.1,3.7,3.4,2.7,2.8,3.1,3.9,3.9,3.6,3.4,3.1,2.8,3,3.1,2.5,2.4
"Ellis County, OK",Oklahoma,36.3741,-99.6219,352,232,2.6,2.7,3.4,2.9,2.7,3,2.7,2.5,2.2,4.6,5.3,3.8,2.9,3.1,3,4.1,3.8,3.3,2.4
"Ellis County, TX",Texas,32.314,-97.0053,1033,492,3.5,4.3,5.8,6.3,5.6,5.3,5,4.3,5,7.9,8,7.7,6.7,6.2,4.9,3.9,3.8,3.4,3.3
"Ellsworth County, KS",Kansas,38.5876,-98.412,433,388,3.3,3.4,4,4.2,4.4,3.9,3.3,3.4,3.3,4.2,4.7,4.1,3.5,3.4,3,3.7,3.8,3.1,2.8
"Elmore County, AL",Alabama,32.6314,-86.3268,4402,78,4,4.2,4.8,5.1,4.9,3.8,3.4,3.3,5.1,9.5,9.1,8.4,7,6.2,5.7,5,4.8,3.6,3.4
"Elmore County, ID",Idaho,42.9502,-115.307,1278,252,5.7,5.7,6.6,6.4,5.4,4.6,4.2,3.9,5.7,8.5,8.7,8.3,7.5,6.7,5.3,4.8,4.1,3.6,3.2
"Emanuel County, GA",Georgia,32.5306,-82.592,645,181,5.7,6.1,5.5,5,5.2,5.6,5.1,5.1,7.4,10.7,12.9,13.3,12.4,12.5,10.4,8.7,7.7,6.7,5.7
"Emery County, UT",Utah,39.3301,-110.9628,1950,333,4.8,6.7,7.2,8,6.8,5.1,3.5,3.3,3.8,7,7.3,7.4,7.2,6.1,5.4,6.1,6.2,5.2,4.9
"Emmet County, IA",Iowa,43.3998,-94.8343,5640,417,2.9,3.8,4.5,5.3,4.5,4.4,4.1,3.7,4,8.3,7,5.6,4.5,4.1,4,3.7,4.2,3.2,2.8
"Emmet County, MI",Michigan,45.3834,-84.9304,315,192,5.6,6.4,7.3,7.8,8.1,8,8.9,9.2,9.8,14.3,14.5,13.1,12,11.9,9.6,7.3,6.6,6.7,6.2
"Emmons County, ND",North Dakota,46.4858,-100.2811,218,219,4.2,4.5,5.7,5.8,5.5,5.2,4.9,5.2,4.9,6.7,6.9,6,5.4,5.3,5.6,5,4.3,4,4.7
"Erath County, TX",Texas,32.0875,-98.3391,3495,387,3.6,3.8,4.7,4.8,4.4,4.1,4,3.6,3.7,6.3,6.4,6,5.6,5.4,4.3,3.9,4.1,3.4,3
"Erie County, NY",New York,43.0085,-78.6308,2671,456,4.2,4.7,5.4,5.7,5.7,5.2,4.9,4.7,5.7,8.1,8.3,8,8.3,7.4,6.1,5.3,4.9,5.2,4.5
"Erie County, OH",Ohio,41.2883,-82.5995,1335,435,4.5,4.8,5.8,6.3,6.8,6.5,5.9,6.1,7.3,11.8,11.3,9.5,8,8.2,6.5,5.6,5.5,6.2,5.6
"Erie County, PA",Pennsylvania,42.0469,-80.2765,1089,158,4.5,5.5,6.8,6.6,6.1,5.4,5.1,4.8,5.6,8.9,9.3,8.1,7.8,7.4,6.2,5.5,6.5,5.8,4.8
"Escambia County, AL",Alabama,31.0127,-87.2541,1389,105,5.2,6.1,8.7,8.6,7.6,5.6,5,5.3,7.6,13.5,11.8,10.8,9.2,8.6,8,7,6.7,5,4.6
"Escambia County, FL",Florida,30.4158,-87.3028,16839,978,4,5.1,5.5,5.1,4.9,3.9,3.2,4,6.2,9.9,10.1,9.7,8.4,7.2,6.4,5.6,4.9,4.1,3.6
"Esmeralda County, NV",Nevada,37.7577,-117.6386,65,25,8.1,7.4,7,4.2,5.2,4.6,4.1,3.1,4.9,7,9.2,8,6.9,4.9,4.5,4.4,4.5,3.8,4.3
"Essex County, MA",Massachusetts,42.5335,-70.9724,52987,1260,2.7,4.1,5.9,6.3,5.7,5.3,5.3,4.9,5.9,8.7,8.7,7.6,7.1,7,6,5,4,3.8,3.5
"Essex County, NJ",New Jersey,40.8428,-74.2014,11696,1812,4.5,5.3,7.2,7.3,6.1,5.6,5.9,5.4,6.4,10.3,10.9,10.8,10.7,9.7,8,6.9,6,5.7,5.2
"Essex County, NY",New York,43.8345,-73.7647,511,68,4.8,4.6,5.2,5.2,5.5,5.4,5.5,5.7,6.7,9.1,9.2,9.1,9.6,8.3,6.9,6,5.4,5.6,5.1
